Index,Name,Innings,Team,batsmen_score,balls_faced,balls_faced_as_NS,strike_rate,fours,sixes,Not_outs,Highest_score,Hs_vs,Hs_SR,matches,balls_bowled,Overs,runs_conceded,Wickets,economy,player_Category
0,Mohammad Ashraful,1,Mumbai Indians,2,12,3,16.67,0,0,0,2,Delhi Daredevils,16.67,0,0,0,0,0,0,Batsman
1,Mohammed Siraj,15,Royal Challengers Bangalore,66,78,97,64.71933333333332,5,2,10,14,Rajasthan Royals,107.69,50,1030,170,1467,50,9.135,Bowler
2,R Shukla,4,Delhi Daredevils,19,23,22,66.6675,2,0,3,14,Rajasthan Royals,116.67,7,120,20,217,5,10.294285714285715,All rounder
3,SN Khan,28,Kings XI Punjab,441,325,310,115.95964285714285,50,11,9,67,Chennai Super Kings,111.67,1,2,0,6,0,18.0,Batsman
4,S Randiv,1,Chennai Super Kings,2,4,1,50.0,0,0,0,2,Mumbai Indians,50.0,8,174,29,223,6,7.80625,Bowler
5,M de Lange,1,Mumbai Indians,1,2,4,50.0,0,0,0,1,Delhi Daredevils,50.0,5,108,18,171,5,10.568,Bowler
6,BW Hilfenhaus,1,Chennai Super Kings,0,0,1,0.0,0,0,1,0,Delhi Daredevils,0,17,372,62,497,22,7.295882352941176,Bowler
7,YV Takawale,10,Royal Challengers Bangalore,192,183,142,100.032,26,3,2,45,Kolkata Knight Riders,125.0,0,0,0,0,0,0,Batsman
8,Imran Tahir,9,Chennai Super Kings,33,37,58,71.45555555555556,5,0,5,13,Mumbai Indians,130.0,59,1316,217,1729,77,8.243728813559322,Bowler
9,RP Singh,30,Rising Pune Supergiants,52,78,73,64.05533333333332,2,1,15,10,Chennai Super Kings,250.0,82,1780,294,2417,88,8.183048780487804,Bowler
10,CM Gautam,13,Delhi Daredevils,169,158,149,101.68230769230769,17,6,3,33,Kings XI Punjab,110.0,0,0,0,0,0,0,Batsman
11,Akash Singh,0,Rajasthan Royals,0,0,0,0,0,0,0,0,,0,1,24,4,39,0,9.75,Bowler
12,UBT Chand,20,Mumbai Indians,300,314,327,74.97149999999999,32,9,0,58,Royal Challengers Bangalore,145.0,0,0,0,0,0,0,Batsman
13,HF Gurney,1,Kolkata Knight Riders,1,5,17,20.0,0,0,1,1,Chennai Super Kings,20.0,8,162,27,239,7,8.2975,Bowler
14,Y Gnaneswara Rao,1,Kochi Tuskers Kerala,19,18,10,105.56,3,0,0,19,Chennai Super Kings,105.56,1,6,1,7,0,7.0,All rounder
15,IK Pathan,82,Gujarat Lions,1150,985,1032,117.82987804878053,88,38,29,60,Deccan Chargers,200.0,101,2046,335,2711,77,7.689900990099006,All rounder
16,SO Hetmyer,29,Delhi Capitals,517,356,309,123.79586206896553,34,31,9,75,Sunrisers Hyderabad,150.0,0,0,0,0,0,0,Batsman
17,D Kalyankrishna,1,Deccan Chargers,3,8,10,37.5,0,0,0,3,Kings XI Punjab,37.5,3,48,8,88,2,10.533333333333333,Bowler
18,DA Miller,86,Rajasthan Royals,1974,1490,1464,117.97779069767442,137,90,25,101,Royal Challengers Bangalore,258.97,0,0,0,0,0,0,Batsman
19,BAW Mendis,3,Pune Warriors,3,6,9,50.0,0,0,1,2,Royal Challengers Bangalore,50.0,10,244,40,306,7,7.515000000000001,Bowler
20,T Kohli,4,Kings XI Punjab,11,20,22,44.7125,0,1,1,7,Delhi Daredevils,53.85,0,0,0,0,0,0,Batsman
21,JP Duminy,77,Mumbai Indians,2029,1680,1736,113.51285714285716,126,79,26,78,Mumbai Indians,147.17,49,679,112,847,21,6.931632653061226,Batsman
22,SS Tiwary,73,Mumbai Indians,1494,1291,1343,108.62438356164384,111,50,21,61,Delhi Daredevils,156.41,0,0,0,0,0,0,Batsman
23,Sandeep Sharma,25,Sunrisers Hyderabad,52,66,88,59.044399999999996,4,0,19,9,Royal Challengers Bangalore,150.0,99,2198,364,2890,108,7.855858585858587,Bowler
24,S Tyagi,3,Chennai Super Kings,3,4,11,25.0,0,0,2,3,Deccan Chargers,75.0,14,210,35,304,6,7.242142857142857,Bowler
25,SS Shaikh,1,Kolkata Knight Riders,6,7,7,85.71,1,0,0,6,Rajasthan Royals,85.71,0,0,0,0,0,0,Batsman
26,DL Vettori,17,Royal Challengers Bangalore,121,118,169,85.47,11,2,9,29,Rajasthan Royals,103.57,34,777,128,894,28,7.215588235294116,All rounder
27,B Chipli,21,Deccan Chargers,280,256,262,97.49380952380952,28,7,6,61,Royal Challengers Bangalore,174.29,1,6,1,20,0,20.0,Batsman
28,BB Samantray,8,Sunrisers Hyderabad,125,116,114,108.07249999999999,13,2,3,55,Rajasthan Royals,114.58,0,0,0,0,0,0,Batsman
29,LA Pomersbach,16,Kings XI Punjab,302,251,290,111.134375,25,13,5,79,Mumbai Indians,151.92,0,0,0,0,0,0,Batsman
30,JR Hazlewood,0,Chennai Super Kings,0,0,0,0,0,0,0,0,,0,12,270,45,374,12,8.063333333333333,Bowler
31,DH Yagnik,17,Rajasthan Royals,170,142,108,117.1429411764706,23,2,7,34,Mumbai Indians,130.77,0,0,0,0,0,0,Batsman
32,AS Yadav,6,Deccan Chargers,49,40,38,101.07166666666667,5,2,1,16,Rajasthan Royals,160.0,0,0,0,0,0,0,Batsman
33,Mustafizur Rahman,7,Rajasthan Royals,9,17,12,21.08857142857143,0,1,6,8,Mumbai Indians,114.29,38,859,139,1141,36,7.226052631578949,Bowler
34,Joginder Sharma,6,Chennai Super Kings,36,30,30,66.66666666666667,1,2,2,16,Mumbai Indians,106.67,15,256,42,421,12,9.595333333333334,Bowler
35,P Simran Singh,5,Punjab Kings,50,56,51,91.70599999999999,4,2,0,16,Sunrisers Hyderabad,88.89,0,0,0,0,0,0,Batsman
36,SC Ganguly,56,Pune Warriors,1349,1326,1383,84.49142857142859,137,42,3,91,Deccan Chargers,156.9,20,276,46,370,10,6.928999999999999,Batsman
37,CK Kapugedera,3,Chennai Super Kings,16,24,22,50.14333333333334,0,0,0,8,Rajasthan Royals,61.54,3,17,2,49,0,14.596666666666666,All rounder
38,M Jansen,2,Mumbai Indians,0,4,1,0.0,0,0,0,0,Kolkata Knight Riders,0.0,2,36,6,47,2,7.665,All rounder
